date,equity,positions,cash
2026-04-07,937280.3618900612,0,937280.3618900612
2026-04-08,937280.3618900612,0,937280.3618900612
2026-04-09,937280.3618900612,0,937280.3618900612
2026-04-10,937280.3618900612,0,937280.3618900612
2026-04-13,937280.3618900612,0,937280.3618900612
2026-04-15,937280.3618900612,0,937280.3618900612
2026-04-16,937280.3618900612,0,937280.3618900612
2026-04-17,937280.3618900612,0,937280.3618900612
2026-04-20,933146.5136081374,1,761986.8136081374
2026-04-21,931287.7489800424,2,582320.1489800424
2026-04-22,933524.3489800424,2,582320.1489800424
2026-04-23,929366.4489800425,2,582320.1489800424
2026-04-24,926872.8360877425,1,756827.8360877425
2026-04-27,933944.4360877424,1,756827.8360877425
2026-04-28,934777.4873808174,3,199160.0873808175
2026-04-29,944541.9830998925,3,241471.1830998925
2026-04-30,935881.5048761547,2,500495.6048761547
2026-05-04,932709.1321261772,1,772125.1321261772
2026-05-05,932142.986203993,1,801964.6862039929
2026-05-06,933568.8862039929,1,801964.6862039929
2026-05-07,935523.986203993,1,801964.6862039929
2026-05-08,931050.7675361803,1,797070.0675361804
2026-05-11,929507.0910425154,1,791802.3910425154
2026-05-12,926170.1910425154,1,791802.3910425154
2026-05-13,930364.5910425154,1,791802.3910425154
2026-05-14,925415.5910425154,1,791802.3910425154
2026-05-15,921943.5771088455,1,788124.5771088455
2026-05-18,925280.4771088455,1,788124.5771088455
2026-05-19,929563.0771088455,1,788124.5771088455
2026-05-20,924176.8372848845,1,783027.4372848845
2026-05-21,924842.6068615244,1,777823.0068615244
2026-05-22,917077.2584400044,1,772468.4584400044
2026-05-25,915734.6584400043,1,772468.4584400044
2026-05-26,921173.6584400043,1,772468.4584400044
2026-05-27,919497.8584400044,1,772468.4584400044
2026-05-29,922822.2173186732,1,769329.7173186732
2026-06-01,917255.8173186731,1,769329.7173186732
2026-06-02,918172.1173186732,1,769329.7173186732
2026-06-03,922979.0173186732,1,769329.7173186732
2026-06-04,924400.0173186732,1,769329.7173186732
2026-06-05,932416.4173186731,1,769329.7173186732
2026-06-08,926395.7809932358,1,763901.9809932357
2026-06-09,920638.2809932358,1,763901.9809932357
2026-06-10,911206.9210795078,1,754063.9210795078
2026-06-11,907088.0023287253,0,907088.0023287253
2026-06-12,907088.0023287253,0,907088.0023287253
